Variable,Variable_Class,Ab_highurban_IncMSE,Ab_lowurban_IncMSE,Rich_highurban_IncMSE,Rich_lowurban_IncMSE,Shannon_highurban_IncMSE,Shannon_lowurban_IncMSE,Beta_highurban_IncMSE,Beta_lowurban_IncMSE
Season,Environmental,-5.6688203,25.406323,-8.253588,9.322367,5.124198,15.131792,7.736795,16.270121
Soil_Moisture,Soil,0.2622117,3.6240045,1.417261,3.731796,18.900796,9.04737,22.488372,1.255944
Soil_Saturation,Environmental,4.5428352,1.451978,1.515177,6.011417,17.656602,8.220167,16.407077,-2.900109
Soil_WHC,Soil,9.6045691,5.856451,7.805935,18.4434,17.099001,22.302767,11.407767,17.142245
Bulk_Density,Soil,8.8387486,-1.1817773,6.734589,18.453455,9.661376,15.206602,7.32135,40.5082
Soil_N,Soil,9.7751619,17.1951211,3.484862,12.925938,18.934308,23.286348,13.212528,3.9249
Soil_C,Soil,12.6371995,13.6417899,3.161029,6.362337,24.092698,17.386598,20.835261,14.551763
Soil_pH,Soil,-5.5571097,4.1718008,23.940746,11.394957,29.023806,21.140201,7.198547,18.240023
Soil_Sand,Soil,6.6188663,2.9952652,16.063174,13.632735,32.560651,12.453995,34.684576,13.202198
Soil_Silt,Soil,2.5227268,4.5840546,8.245656,14.687821,22.331178,11.468832,11.823911,15.92259
Soil_Clay,Soil,13.277473,0.527222,13.928699,32.002419,12.370631,24.976021,36.496952,11.453352
Median_Household_Income,Urban,2.5701159,18.1700034,7.63978,32.989844,17.331987,30.219954,15.206887,18.977347
Distance_from_Geographic_Center,Urban,8.7188941,0.9848096,13.526715,15.352351,16.389773,16.192449,10.954433,17.203959
Park_Area,Spatial,15.9516307,12.5967245,9.347277,9.895354,12.576231,15.306654,17.712592,24.74756
Perimeter_Area_ratio,Spatial,18.3762624,9.6373927,9.339307,20.890065,11.533795,14.831068,16.202895,18.453718
Population_Density,Urban,9.5860702,4.2200143,5.926894,23.033417,17.620284,26.662468,21.285609,19.275843
Impervious_Surfaces,Urban,10.474863,12.5374913,23.059842,25.860051,21.570198,20.076078,3.384475,27.522031
